State,Gender,Year,Deaths
Kentucky,Male,2007,514
Idaho,Female,2007,18
Illinois,Female,2007,102
Florida,Female,2007,339
Illinois,Male,2007,924
Connecticut,Male,2007,130
Maine,Female,2007,12
Indiana,Male,2007,556
Indiana,Female,2007,111
North Dakota,Male,2007,54
North Dakota,Female,2007,0
Iowa,Female,2007,12
Iowa,Male,2007,142
Texas,Female,2007,372
Texas,Male,2007,2178
Tennessee,Male,2007,767
Tennessee,Female,2007,158
Ohio,Female,2007,130
Ohio,Male,2007,973
Oklahoma,Female,2007,85
Oklahoma,Male,2007,395
North Carolina,Male,2007,935
North Carolina,Female,2007,177
Connecticut,Female,2007,19
Florida,Male,2007,1915
Delaware,Female,2007,13
California,Female,2007,379
Louisiana,Male,2007,739
Louisiana,Female,2007,129
Hawaii,Female,2007,0
Georgia,Female,2007,183
New Jersey,Female,2007,42
Pennsylvania,Female,2007,128
South Carolina,Female,2007,97
New Jersey,Male,2007,402
South Carolina,Male,2007,491
Virginia,Female,2007,132
Vermont,Male,2007,45
Pennsylvania,Male,2007,1184
Virginia,Male,2007,681
New Mexico,Female,2007,43
Georgia,Male,2007,1054
California,Male,2007,2815
New Mexico,Male,2007,244
Colorado,Male,2007,436
Rhode Island,Female,2007,0
Vermont,Female,2007,0
Hawaii,Male,2007,33
Ohio,Female,2008,124
Ohio,Male,2008,985
Michigan,Female,2008,102
Michigan,Male,2008,977
Hawaii,Female,2008,0
Montana,Male,2008,122
Wisconsin,Male,2008,375
Tennessee,Male,2008,818
Montana,Female,2008,31
Wisconsin,Female,2008,64
Georgia,Female,2008,223
Georgia,Male,2008,950
Rhode Island,Male,2008,40
Indiana,Female,2008,114
Indiana,Male,2008,606
Delaware,Male,2008,90
Delaware,Female,2008,0
Tennessee,Female,2008,167
Hawaii,Male,2008,33
Minnesota,Female,2008,40
Pennsylvania,Female,2008,138
Minnesota,Male,2008,331
Missouri,Female,2008,119
Florida,Female,2008,352
Florida,Male,2008,1966
South Carolina,Male,2008,536
Idaho,Female,2008,24
Idaho,Male,2008,146
Oregon,Male,2008,330
Oregon,Female,2008,49
Oklahoma,Male,2008,431
South Carolina,Female,2008,78
Missouri,Male,2008,699
Pennsylvania,Male,2008,1197
South Dakota,Female,2008,13
District of Columbia,Male,2008,125
District of Columbia,Female,2008,0
Wyoming,Female,2008,12
Alaska,Female,2008,17
Alaska,Male,2008,122
Wyoming,Male,2008,81
Alabama,Male,2008,682
Alabama,Female,2008,138
Mississippi,Male,2008,473
Illinois,Female,2008,99
Illinois,Male,2008,1002
Mississippi,Female,2008,90
South Dakota,Male,2008,70
Oklahoma,Female,2008,77
Maine,Female,2008,15
Colorado,Female,2008,64
New York,Female,2008,80
Utah,Female,2008,31
Utah,Male,2008,200
Colorado,Male,2008,447
Nevada,Female,2008,61
Nevada,Male,2008,339
Washington,Male,2008,511
Washington,Female,2008,67
Maryland,Male,2008,570
Maryland,Female,2008,75
Kentucky,Female,2008,84
Kentucky,Male,2008,492
Rhode Island,Female,2008,0
New Mexico,Male,2008,244
New York,Male,2008,877
New Mexico,Female,2008,44
Vermont,Male,2008,48
Arkansas,Female,2008,71
Arkansas,Male,2008,373
Louisiana,Female,2008,126
Louisiana,Male,2008,700
California,Male,2008,2753
California,Female,2008,355
New Jersey,Male,2008,380
New Jersey,Female,2008,49
New Hampshire,Female,2008,15
New Hampshire,Male,2008,79
Virginia,Female,2008,112
Virginia,Male,2008,695
Maine,Male,2008,104
Vermont,Female,2008,0
Kansas,Male,2008,245
West Virginia,Male,2008,193
North Carolina,Male,2008,961
Massachusetts,Male,2008,202
Kansas,Female,2008,30
Massachusetts,Female,2008,16
Nebraska,Male,2008,135
Nebraska,Female,2008,14
Iowa,Male,2008,196
Iowa,Female,2008,27
North Dakota,Female,2008,0
Texas,Male,2008,2168
North Dakota,Male,2008,54
North Carolina,Female,2008,199
Texas,Female,2008,415
West Virginia,Female,2008,44
